KO ID	Name	Definition	Gene Count
K00859	coaE	dephospho-CoA kinase [EC:2.7.1.24]	1
K00864	E2.7.1.30, glpK	glycerol kinase [EC:2.7.1.30]	1
K00865	glxK	glycerate kinase [EC:2.7.1.31]	1
K00867	coaA	type I pantothenate kinase [EC:2.7.1.33]	1
K00868	pdxK, pdxY	pyridoxine kinase [EC:2.7.1.35]	2
K00869	E2.7.1.36, MVK, mvaK1	mevalonate kinase [EC:2.7.1.36]	1
K00872	thrB1	homoserine kinase [EC:2.7.1.39]	1
K00873	PK, pyk	pyruvate kinase [EC:2.7.1.40]	1
K00876	E2.7.1.48, udk	uridine kinase [EC:2.7.1.48]	1
K00882	fruK	1-phosphofructokinase [EC:2.7.1.56]	1
K00891	E2.7.1.71, aroK, aroL	shikimate kinase [EC:2.7.1.71]	1
K00897	E2.7.1.95	aminoglycoside 3'-phosphotransferase [EC:2.7.1.95]	1
K00901	E2.7.1.107, DGK, dgkA	diacylglycerol kinase (ATP dependent) [EC:2.7.1.107]	1
K00917	lacC	tagatose 6-phosphate kinase [EC:2.7.1.144]	2
K00925	ackA	acetate kinase [EC:2.7.2.1]	1
K00926	arcC	carbamate kinase [EC:2.7.2.2]	1
K00927	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]	1
K00928	lysC	aspartate kinase [EC:2.7.2.4]	1
K00930	argB	acetylglutamate kinase [EC:2.7.2.8]	1
K00931	proB	glutamate 5-kinase [EC:2.7.2.11]	1
K00936	E2.7.3.-		3
K00938	E2.7.4.2, mvaK2	phosphomevalonate kinase [EC:2.7.4.2]	1
K00939	E2.7.4.3, adk	adenylate kinase [EC:2.7.4.3]	1
K00942	E2.7.4.8, gmk	guanylate kinase [EC:2.7.4.8]	1
K00943	E2.7.4.9, tmk	dTMP kinase [EC:2.7.4.9]	1
K00945	cmk	cytidylate kinase [EC:2.7.4.14]	1
K00948	PRPS, prsA	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	2
K00949	E2.7.6.2, THI80	thiamine pyrophosphokinase [EC:2.7.6.2]	1
K00951	relA	GTP pyrophosphokinase [EC:2.7.6.5]	1
K00954	E2.7.7.3A, coaD, kdtB	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	1
K00962	pnp, PNPT1	polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	1
K00963	UGP2, galU, galF	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	1
K00965	galT, GALT	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	1
K00969	nadD	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	1
K00973	E2.7.7.24, rfbA, rffH	glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	1
K00974	cca	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	1
K00975	glgC	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	2
K00981	E2.7.7.41, CDS1, CDS2, cdsA	phosphatidate cytidylyltransferase [EC:2.7.7.41]	1
K00991	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]	1
K00995	E2.7.8.5, pgsA, PGS1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	1
K00997	acpS	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]	1
K00998	pssA, CHO1	phosphatidylserine synthase [EC:2.7.8.8]	1
K01000	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	1
K01006	ppdK	pyruvate,orthophosphate dikinase [EC:2.7.9.1]	1
K01007	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	2
K01056	PTH1, pth, spoVC	peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]	1
K01069	E3.1.2.6, gloB	hydroxyacylglutathione hydrolase [EC:3.1.2.6]	1
K01071	E3.1.2.14	oleoyl-[acyl-carrier-protein] hydrolase [EC:3.1.2.14]	1
K01079	serB, PSPH	phosphoserine phosphatase [EC:3.1.3.3]	1
K01081	E3.1.3.5	5'-nucleotidase [EC:3.1.3.5]	1
K01090	E3.1.3.16	protein phosphatase [EC:3.1.3.16]	1
K01091	E3.1.3.18, gph	phosphoglycolate phosphatase [EC:3.1.3.18]	1
K01092	E3.1.3.25, IMPA, suhB	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	1
K01101	E3.1.3.41	4-nitrophenyl phosphatase [EC:3.1.3.41]	1
K01104	E3.1.3.48	protein-tyrosine phosphatase [EC:3.1.3.48]	2
K01126	E3.1.4.46, glpQ, ugpQ	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	1
K01142	E3.1.11.2, xthA	exodeoxyribonuclease III [EC:3.1.11.2]	1
K01153	hsdR	type I restriction enzyme, R subunit [EC:3.1.21.3]	1
K01154	hsdS	type I restriction enzyme, S subunit [EC:3.1.21.3]	1
K01176	E3.2.1.1, amyA, malS	alpha-amylase [EC:3.2.1.1]	1
K01190	lacZ	beta-galactosidase [EC:3.2.1.23]	1
K01191	E3.2.1.24	alpha-mannosidase [EC:3.2.1.24]	1
K01193	E3.2.1.26, sacA	beta-fructofuranosidase [EC:3.2.1.26]	2
K01200	E3.2.1.41	pullulanase [EC:3.2.1.41]	2
K01206	FUCA	alpha-L-fucosidase [EC:3.2.1.51]	2
K01220	E3.2.1.85, lacG	6-phospho-beta-galactosidase [EC:3.2.1.85]	1
K01223	E3.2.1.86B, bglA	6-phospho-beta-glucosidase [EC:3.2.1.86]	4
K01226	treC	trehalose-6-phosphate hydrolase [EC:3.2.1.93]	1
K01234	E3.2.1.135, nplT	neopullulanase [EC:3.2.1.135]	1
K01243	mtnN, mtn, pfs	S-adenosylhomocysteine/5'-methylthioadenosine nucleosidase [EC:3.2.2.9]	1
K01246	tag	DNA-3-methyladenine glycosylase I [EC:3.2.2.20]	1
K01256	pepN	aminopeptidase N [EC:3.4.11.2]	1
K01258	pepT	tripeptide aminopeptidase [EC:3.4.11.4]	1
K01261	pepA	glutamyl aminopeptidase [EC:3.4.11.7]	1
K01262	pepP	Xaa-Pro aminopeptidase [EC:3.4.11.9]	1
K01265	E3.4.11.18, map	methionyl aminopeptidase [EC:3.4.11.18]	1
K01269	E3.4.11.-	aminopeptidase [EC:3.4.11.-]	1
K01271	pepQ	Xaa-Pro dipeptidase [EC:3.4.13.9]	1
K01274	E3.4.13.-	D-alanyl-D-alanine dipeptidase [EC:3.4.13.-]	1
K01281	E3.4.14.11, pepXP	X-Pro dipeptidyl-peptidase [EC:3.4.14.11]	2
K01286	E3.4.16.4	D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]	1
K01358	clpP, CLPP	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	1
K01361	E3.4.21.96	lactocepin [EC:3.4.21.96]	1
K01362	E3.4.21.-		2
K01372	E3.4.22.40, pepC	bleomycin hydrolase [EC:3.4.22.40]	1
K01409	gcp, QRI7, OSGEPL	O-sialoglycoprotein endopeptidase [EC:3.4.24.57]	2
K01417	E3.4.24.-	putative zinc metalloprotease [EC:3.4.24.-]	1
K01421	yhgE	putative membrane protein	1
K01424	E3.5.1.1, ansA, ansB	L-asparaginase [EC:3.5.1.1]	1
K01436	K01436	amidohydrolase [EC:3.5.1.-]	1
K01439	dapE	succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	1
K01443	E3.5.1.25, nagA, AMDHD2	N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]	1
K01462	PDF, def	peptide deformylase [EC:3.5.1.88]	2
K01463	E3.5.1.-		1
K01465	URA4, pyrC	dihydroorotase [EC:3.5.2.3]	1
K01467	E3.5.2.6, ampC, penP	beta-lactamase [EC:3.5.2.6]	1
K01468	E3.5.2.7, hutI	imidazolonepropionase [EC:3.5.2.7]	1
K01478	E3.5.3.6, arcA	arginine deiminase [EC:3.5.3.6]	1
K01479	E3.5.3.8, hutG	formiminoglutamase [EC:3.5.3.8]	1
K01489	E3.5.4.5, cdd	cytidine deaminase [EC:3.5.4.5]	1
K01491	folD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	1
K01493	comEB	dCMP deaminase [EC:3.5.4.12]	1
K01495	E3.5.4.16, folE	GTP cyclohydrolase I [EC:3.5.4.16]	1
K01496	hisI	phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]	1
K01512	acyP	acylphosphatase [EC:3.6.1.7]	1
K01515	nudF	ADP-ribose pyrophosphatase [EC:3.6.1.13]	2
K01520	E3.6.1.23, dut	dUTP pyrophosphatase [EC:3.6.1.23]	1
K01523	hisE	phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]	1
K01531	E3.6.3.2, mgtA, mgtB	Mg2+-importing ATPase [EC:3.6.3.2]	1
K01533	E3.6.3.4, ATP7, copA	Cu2+-exporting ATPase [EC:3.6.3.4]	2
K01537	E3.6.3.8	Ca2+-transporting ATPase [EC:3.6.3.8]	1
K01552	E3.6.3.-		2
K01575	E4.1.1.5, alsD	acetolactate decarboxylase [EC:4.1.1.5]	1
K01586	lysA	diaminopimelate decarboxylase [EC:4.1.1.20]	1
K01588	purE	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	1
K01589	purK	5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	1
K01591	pyrF	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	1
K01595	ppc	phosphoenolpyruvate carboxylase [EC:4.1.1.31]	1
K01597	MVD, mvaD	diphosphomevalonate decarboxylase [EC:4.1.1.33]	1
K01598	PPCDC, coaC	phosphopantothenoylcysteine decarboxylase [EC:4.1.1.36]	1
K01609	trpC	indole-3-glycerol phosphate synthase [EC:4.1.1.48]	1
K01610	E4.1.1.49, pckA	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	1
K01613	psd, PISD	phosphatidylserine decarboxylase [EC:4.1.1.65]	1
K01619	deoC, DERA	deoxyribose-phosphate aldolase [EC:4.1.2.4]	1
K01624	FBA, fbaA	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	1
K01626	E2.5.1.54, aroF, aroG, aroH	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	1
K01635	lacD	tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]	2
K01636	E4.1.2.-		2
K01639	E4.1.3.3, nanA, NPL	N-acetylneuraminate lyase [EC:4.1.3.3]	1
K01641	E2.3.3.10	hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]	1
K01647	CS, gltA	citrate synthase [EC:2.3.3.1]	1
K01649	leuA	2-isopropylmalate synthase [EC:2.3.3.13]	1
K01652	E2.2.1.6L, ilvB, ilvG, ilvI	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	1
K01653	E2.2.1.6S, ilvH, ilvN	acetolactate synthase I/III small subunit [EC:2.2.1.6]	1
K01657	trpE	anthranilate synthase component I [EC:4.1.3.27]	1
K01658	trpG	anthranilate synthase component II [EC:4.1.3.27]	1
K01673	cynT, can	carbonic anhydrase [EC:4.2.1.1]	1
K01681	ACO, acnA	aconitate hydratase 1 / homoaconitase [EC:4.2.1.3 4.2.1.-]	1
K01687	ilvD	dihydroxy-acid dehydratase [EC:4.2.1.9]	1
K01689	ENO, eno	enolase [EC:4.2.1.11]	1
K01693	E4.2.1.19, hisB	imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	1
K01695	trpA	tryptophan synthase alpha chain [EC:4.2.1.20]	2
K01696	trpB	tryptophan synthase beta chain [EC:4.2.1.20]	2
K01703	leuC	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	1
K01704	leuD	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	1
K01710	E4.2.1.46, rfbB, rffG	dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	3
K01712	hutU, UROC1	urocanate hydratase [EC:4.2.1.49]	1
K01714	dapA	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	1
K01733	thrC	threonine synthase [EC:4.2.3.1]	1
K01735	aroB	3-dehydroquinate synthase [EC:4.2.3.4]	1
K01736	aroC	chorismate synthase [EC:4.2.3.5]	1
K01738	cysK	cysteine synthase A [EC:2.5.1.47]	1
K01739	metB	cystathionine gamma-synthase [EC:2.5.1.48]	1
K01740	E2.5.1.49, metY	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	1
K01745	hutH, HAL	histidine ammonia-lyase [EC:4.3.1.3]	1
K01746	E4.3.1.4	formiminotetrahydrofolate cyclodeaminase [EC:4.3.1.4]	1
K01752	E4.3.1.17, sdaA	L-serine dehydratase [EC:4.3.1.17]	2
K01754	E4.3.1.19, ilvA, tdcB	threonine dehydratase [EC:4.3.1.19]	1
K01755	argH, ASL	argininosuccinate lyase [EC:4.3.2.1]	1
K01756	purB, ADSL	adenylosuccinate lyase [EC:4.3.2.2]	1
K01759	E4.4.1.5, GLO1, gloA	lactoylglutathione lyase [EC:4.4.1.5]	1
K01772	hemH, FECH	ferrochelatase [EC:4.99.1.1]	1
K01775	alr	alanine racemase [EC:5.1.1.1]	1
K01776	E5.1.1.3, murI	glutamate racemase [EC:5.1.1.3]	1
K01783	rpe, RPE	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	1
K01784	galE, GALE	UDP-glucose 4-epimerase [EC:5.1.3.2]	3
K01785	E5.1.3.3, galM	aldose 1-epimerase [EC:5.1.3.3]	1
K01788	nanE	N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]	1
K01790	rfbC	dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	1
K01803	TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	1
K01807	rpiA	ribose 5-phosphate isomerase A [EC:5.3.1.6]	1
K01809	E5.3.1.8, manA	mannose-6-phosphate isomerase [EC:5.3.1.8]	1
K01810	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	1
K01814	E5.3.1.16, hisA	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	1
K01817	trpF	phosphoribosylanthranilate isomerase [EC:5.3.1.24]	2
K01819	E5.3.1.26, lacA, lacB	galactose-6-phosphate isomerase [EC:5.3.1.26]	4
K01821	E5.3.2.-	4-oxalocrotonate tautomerase [EC:5.3.2.-]	1
K01823	idi, IDI	isopentenyl-diphosphate delta-isomerase [EC:5.3.3.2]	1
K01834	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.1]	1
K01835	pgm	phosphoglucomutase [EC:5.4.2.2]	1
K01839	deoB	phosphopentomutase [EC:5.4.2.7]	1
K01866	YARS, tyrS	tyrosyl-tRNA synthetase [EC:6.1.1.1]	1
K01867	WARS, trpS	tryptophanyl-tRNA synthetase [EC:6.1.1.2]	1
K01868	TARS, thrS	threonyl-tRNA synthetase [EC:6.1.1.3]	1
K01869	LARS, leuS	leucyl-tRNA synthetase [EC:6.1.1.4]	1
K01870	IARS, ileS	isoleucyl-tRNA synthetase [EC:6.1.1.5]	1
K01872	AARS, alaS	alanyl-tRNA synthetase [EC:6.1.1.7]	1
K01873	VARS, valS	valyl-tRNA synthetase [EC:6.1.1.9]	1
K01874	MARS, metG	methionyl-tRNA synthetase [EC:6.1.1.10]	1
K01875	SARS, serS	seryl-tRNA synthetase [EC:6.1.1.11]	1
K01876	DARS, aspS	aspartyl-tRNA synthetase [EC:6.1.1.12]	2
K01878	glyQ	glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	1
K01879	glyS	glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	1
K01881	PARS, proS	prolyl-tRNA synthetase [EC:6.1.1.15]	1
K01883	CARS, cysS	cysteinyl-tRNA synthetase [EC:6.1.1.16]	1
K01887	RARS, argS	arginyl-tRNA synthetase [EC:6.1.1.19]	1
K01889	FARSA, pheS	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	1
K01890	FARSB, pheT	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	1
K01892	HARS, hisS	histidyl-tRNA synthetase [EC:6.1.1.21]	1
K01893	NARS, asnS	asparaginyl-tRNA synthetase [EC:6.1.1.22]	1
K01915	glnA	glutamine synthetase [EC:6.3.1.2]	1
K01916	nadE	NAD+ synthase [EC:6.3.1.5]	1
K01919	gshA	glutamate--cysteine ligase [EC:6.3.2.2]	1
K01921	ddl	D-alanine-D-alanine ligase [EC:6.3.2.4]	1
K01922	PPCS, coaB	phosphopantothenate-cysteine ligase [EC:6.3.2.5]	1
K01923	purC	phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	1
K01924	murC	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	1
K01925	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	1
K01926	rex	redox-sensing transcriptional repressor	1
K01928	E6.3.2.13, murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	1
K01929	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	1
K01933	purM	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	1
K01934	E6.3.3.2	5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	1
K01937	E6.3.4.2, pyrG	CTP synthase [EC:6.3.4.2]	1
K01938	fhs	formate--tetrahydrofolate ligase [EC:6.3.4.3]	2
K01939	E6.3.4.4, purA	adenylosuccinate synthase [EC:6.3.4.4]	1
K01940	E6.3.4.5, argG	argininosuccinate synthase [EC:6.3.4.5]	1
K01945	purD	phosphoribosylamine--glycine ligase [EC:6.3.4.13]	1
